,timestamp,electricity,data_source
0,2021-05-31 00:30:00,4.05,1a Carpenters Place
1,2021-05-31 01:00:00,4.06,1a Carpenters Place
2,2021-05-31 01:30:00,4.05,1a Carpenters Place
3,2021-05-31 02:00:00,4.05,1a Carpenters Place
4,2021-05-31 02:30:00,4.07,1a Carpenters Place
5,2021-05-31 03:00:00,4.07,1a Carpenters Place
6,2021-05-31 03:30:00,4.07,1a Carpenters Place
7,2021-05-31 04:00:00,4.07,1a Carpenters Place
8,2021-05-31 04:30:00,4.06,1a Carpenters Place
9,2021-05-31 05:00:00,4.06,1a Carpenters Place
10,2021-05-31 05:30:00,4.04,1a Carpenters Place
11,2021-05-31 06:00:00,4.05,1a Carpenters Place
12,2021-05-31 06:30:00,4.05,1a Carpenters Place
13,2021-05-31 07:00:00,4.04,1a Carpenters Place
14,2021-05-31 07:30:00,4.04,1a Carpenters Place
15,2021-05-31 08:00:00,3.85,1a Carpenters Place
16,2021-05-31 08:30:00,3.8,1a Carpenters Place
17,2021-05-31 09:00:00,3.79,1a Carpenters Place
18,2021-05-31 09:30:00,3.79,1a Carpenters Place
19,2021-05-31 10:00:00,3.78,1a Carpenters Place
20,2021-05-31 10:30:00,3.78,1a Carpenters Place
21,2021-05-31 11:00:00,3.79,1a Carpenters Place
22,2021-05-31 11:30:00,3.85,1a Carpenters Place
23,2021-05-31 12:00:00,3.85,1a Carpenters Place
24,2021-05-31 12:30:00,3.86,1a Carpenters Place
25,2021-05-31 13:00:00,3.85,1a Carpenters Place
26,2021-05-31 13:30:00,3.84,1a Carpenters Place
27,2021-05-31 14:00:00,3.84,1a Carpenters Place
28,2021-05-31 14:30:00,3.84,1a Carpenters Place
29,2021-05-31 15:00:00,3.84,1a Carpenters Place
30,2021-05-31 15:30:00,3.85,1a Carpenters Place
31,2021-05-31 16:00:00,3.84,1a Carpenters Place
32,2021-05-31 16:30:00,3.84,1a Carpenters Place
33,2021-05-31 17:00:00,3.83,1a Carpenters Place
34,2021-05-31 17:30:00,3.83,1a Carpenters Place
35,2021-05-31 18:00:00,3.83,1a Carpenters Place
36,2021-05-31 18:30:00,3.85,1a Carpenters Place
37,2021-05-31 19:00:00,3.85,1a Carpenters Place
38,2021-05-31 19:30:00,3.85,1a Carpenters Place
39,2021-05-31 20:00:00,3.85,1a Carpenters Place
40,2021-05-31 20:30:00,3.84,1a Carpenters Place
41,2021-05-31 21:00:00,3.84,1a Carpenters Place
42,2021-05-31 21:30:00,3.85,1a Carpenters Place
43,2021-05-31 22:00:00,3.85,1a Carpenters Place
44,2021-05-31 22:30:00,3.85,1a Carpenters Place
45,2021-05-31 23:00:00,3.86,1a Carpenters Place
46,2021-05-31 23:30:00,3.85,1a Carpenters Place
47,2021-06-01 00:00:00,3.86,1a Carpenters Place
0,2021-06-01 00:30:00,3.86,1a Carpenters Place
1,2021-06-01 01:00:00,3.85,1a Carpenters Place
2,2021-06-01 01:30:00,3.86,1a Carpenters Place
3,2021-06-01 02:00:00,3.86,1a Carpenters Place
4,2021-06-01 02:30:00,3.85,1a Carpenters Place
5,2021-06-01 03:00:00,3.85,1a Carpenters Place
6,2021-06-01 03:30:00,3.85,1a Carpenters Place
7,2021-06-01 04:00:00,3.85,1a Carpenters Place
8,2021-06-01 04:30:00,3.85,1a Carpenters Place
9,2021-06-01 05:00:00,3.84,1a Carpenters Place
10,2021-06-01 05:30:00,3.84,1a Carpenters Place
11,2021-06-01 06:00:00,3.84,1a Carpenters Place
12,2021-06-01 06:30:00,3.84,1a Carpenters Place
13,2021-06-01 07:00:00,3.85,1a Carpenters Place
14,2021-06-01 07:30:00,3.85,1a Carpenters Place
15,2021-06-01 08:00:00,3.84,1a Carpenters Place
16,2021-06-01 08:30:00,3.84,1a Carpenters Place
17,2021-06-01 09:00:00,3.85,1a Carpenters Place
18,2021-06-01 09:30:00,3.84,1a Carpenters Place
19,2021-06-01 10:00:00,3.84,1a Carpenters Place
20,2021-06-01 10:30:00,3.82,1a Carpenters Place
21,2021-06-01 11:00:00,3.82,1a Carpenters Place
22,2021-06-01 11:30:00,3.85,1a Carpenters Place
23,2021-06-01 12:00:00,3.84,1a Carpenters Place
24,2021-06-01 12:30:00,3.84,1a Carpenters Place
25,2021-06-01 13:00:00,3.83,1a Carpenters Place
26,2021-06-01 13:30:00,3.82,1a Carpenters Place
27,2021-06-01 14:00:00,3.83,1a Carpenters Place
28,2021-06-01 14:30:00,3.83,1a Carpenters Place
29,2021-06-01 15:00:00,3.83,1a Carpenters Place
30,2021-06-01 15:30:00,3.82,1a Carpenters Place
31,2021-06-01 16:00:00,3.82,1a Carpenters Place
32,2021-06-01 16:30:00,3.83,1a Carpenters Place
33,2021-06-01 17:00:00,3.82,1a Carpenters Place
34,2021-06-01 17:30:00,3.81,1a Carpenters Place
35,2021-06-01 18:00:00,3.82,1a Carpenters Place
36,2021-06-01 18:30:00,3.83,1a Carpenters Place
